,Brand,Type,Coe_left(yrs),Dep($),Mileage(mile),Road Tax($),Dereg Value($),COE($),Engine Cap(cc),Curb Weight(kg),Manufactured(yrs),Transmission,OMV($),ARF($),Power,No. of Owners,Price($)
867,Honda,Mid-Sized Sedan,8,10150,7500,742,41373,31783,1597,1237,2,1,20072,20101,92,1,94000
868,Suzuki,Hatchback,0,8560,320000,952,4733,25333,1490,1060,14,1,10917,12009,74,4,8000
869,Toyota,SUV,7,13520,31990,1210,52426,32552,1998,1695,3,1,33306,38629,170,1,120800
870,Opel,Hatchback,5,8830,90000,392,34134,51106,999,1188,4,1,19715,5000,77,2,55000
872,MINI,SUV,8,13550,33468,684,58357,35010,1498,1490,4,1,32498,37498,75,1,135800
873,Kia,Mid-Sized Sedan,2,8010,160000,886,8282,13943,1591,1251,12,1,14611,14611,92,4,23800
874,Citroen,SUV,7,9380,22953,508,41490,38830,1199,1203,3,1,18852,18852,81,1,75500
875,Audi,Luxury Sedan,4,12230,78552,624,38941,56001,1395,1310,6,1,27621,20670,92,1,63800
876,Mercedes-Benz,Luxury Sedan,5,25490,106500,2382,131055,57002,2996,1940,5,1,89948,133907,200,1,203888
877,BMW,Sports Car,6,22370,42500,1210,71865,49802,1998,1715,4,1,45296,55415,135,1,163800
878,Lexus,SUV,1,13800,120000,4340,8087,22499,3456,1915,14,1,45986,50585,203,3,24800
879,Honda,Mid-Sized Sedan,7,7180,138291,1271,24003,31335,1799,1219,13,1,27503,27503,103,4,54998
880,Mitsubishi,Mid-Sized Sedan,2,8640,221279,889,7737,19107,1499,1313,13,1,16230,16230,80,4,17500
881,Mitsubishi,Sports Car,8,6330,139655,799,24009,29328,1468,1160,12,1,22425,22425,113,5,51800
882,Mercedes-Benz,Luxury Sedan,7,14510,20000,740,53444,36704,1595,1480,3,1,28735,32229,90,1,131800
883,Toyota,SUV,6,13070,34000,1196,58314,49996,1986,1610,5,1,33944,34522,111,1,101988
884,Kia,SUV,7,9040,31000,392,25615,25920,998,1185,3,1,17310,7310,88,1,73888
885,Volvo,SUV,5,20800,32000,1176,82567,46229,1969,2053,5,1,57802,76044,187,1,152888
886,Mercedes-Benz,SUV,6,21640,56000,1202,79564,48109,1991,1785,4,1,51323,64382,155,1,172888
887,Hyundai,Hatchback,7,10320,15238,600,33095,38501,1353,1240,3,1,17883,7883,103,1,76800
888,Volkswagen,MPV,7,11780,47000,624,50447,41000,1395,1288,2,1,23831,25364,110,1,106800
889,Audi,Hatchback,6,11820,38170,392,38757,41761,999,1275,4,1,24162,15827,85,1,83999
890,Ferrari,Sports Car,6,95690,27000,3796,393186,55414,3902,1565,4,1,281467,478641,493,2,830000
891,Honda,Mid-Sized Sedan,3,11760,10000,742,32422,61990,1598,1225,8,1,20029,20041,92,1,46800
892,Mazda,Mid-Sized Sedan,6,9000,87167,682,39544,42900,1496,1310,4,1,14299,14299,88,2,67588
893,Mitsubishi,SUV,6,9630,48000,1210,49901,57414,1998,1365,4,1,16787,16787,110,1,70999
894,BMW,Luxury Sedan,9,17230,17000,1210,75214,40790,1998,1460,2,1,46340,56876,135,1,189000
895,Subaru,SUV,4,12610,74256,1210,31275,38610,1998,1682,5,1,18626,18626,177,2,68888
896,Volkswagen,Hatchback,6,9500,71000,508,33819,44002,1197,1229,5,1,18219,8219,81,2,63800
897,Honda,MPV,7,15060,27345,1630,64697,48010,2356,1858,2,1,31027,35438,129,1,137300
898,Honda,Hatchback,8,8210,13500,578,31668,32000,1317,1030,2,1,15940,5940,73,1,72800
899,Toyota,Luxury Sedan,6,5990,157287,2129,27014,38712,2362,1540,13,1,28436,28436,123,5,41800
900,Mercedes-Benz,Luxury Sedan,4,17320,53000,1202,68770,47604,1991,1655,6,1,52041,65674,135,1,115800
901,Honda,SUV,8,9680,28000,682,31873,26999,1496,1190,2,1,22487,13482,96,1,84800
902,Mercedes-Benz,Luxury Sedan,5,18940,58000,1202,77352,51010,1991,1680,6,1,53339,68011,155,1,131800
